00000	Ericsson AB
00001	Nokia Mobile Phones
00002	Intel Corp.
00003	IBM Corp.
00004	Toshiba Corp.
00005	3Com
00006	Microsoft
00007	Lucent
00008	Motorola
00009	Infineon Technologies AG
00010	Qualcomm Technologies International, Ltd. (QTIL)
00011	Silicon Wave
00012	Digianswer A/S
00013	Texas Instruments Inc.
00014	Parthus Technologies Inc.
00015	Broadcom Corporation
00016	Mitel Semiconductor
00017	Widcomm, Inc.
00018	Zeevo, Inc.
00019	Atmel Corporation
00020	Mitsubishi Electric Corporation
00021	RTX A/S
00022	KC Technology Inc.
00023	Newlogic
00024	Transilica, Inc.
00025	Rohde & Schwarz GmbH & Co. KG
00026	TTPCom Limited
00027	Signia Technologies, Inc.
00028	Conexant Systems Inc.
00029	Qualcomm
00030	Inventel
00031	AVM Berlin
00032	BandSpeed, Inc.
00033	Mansella Ltd
00034	NEC Corporation
00035	WavePlus Technology Co., Ltd.
00036	Alcatel
00037	NXP B.V.
00038	C Technologies
00039	Open Interface
00040	R F Micro Devices
00041	Hitachi Ltd
00042	Symbol Technologies, Inc.
00043	Tenovis
00044	Macronix International Co. Ltd.
00045	GCT Semiconductor
00046	Norwood Systems
00047	MewTel Technology Inc.
00048	ST Microelectronics
00049	Synopsys, Inc.
00050	Red-M (Communications) Ltd
00051	Commil Ltd
00052	Computer Access Technology Corporation (CATC)
00054	Renesas Electronics Corporation
00055	Mobilian Corporation
00056	Syntronix Corporation
00057	Integrated System Solution Corp.
00058	Panasonic Holdings Corporation
00059	Gennum Corporation
00060	BlackBerry Limited
00061	IPextreme, Inc.
00062	Systems and Chips, Inc
00063	Bluetooth SIG, Inc
00064	Seiko Epson Corporation
00065	Integrated Silicon Solution Taiwan, Inc.
00066	CONWISE Technology Corporation Ltd
00067	PARROT AUTOMOTIVE SAS
00068	Socket Mobile
00069	Atheros Communications, Inc.
00070	MediaTek, Inc.
00071	Bluegiga
00072	Marvell Technology Group Ltd.
00073	3DSP Corporation
00074	Accel Semiconductor Ltd.
00075	AUMOVIO Systems, Inc.
00076	Apple, Inc.
00077	Staccato Communications, Inc.
00078	Avago Technologies
00079	APT Ltd.
00080	SiRF Technology, Inc.
00081	Tzero Technologies, Inc.
00082	J&M Corporation
00083	Free2move AB
00084	3DiJoy Corporation
00085	Plantronics, Inc.
00086	Sony Ericsson Mobile Communications
00087	Harman International Industries, Inc.
00088	Vizio, Inc.
00089	Nordic Semiconductor ASA
00090	EM Microelectronic-Marin SA
00091	Ralink Technology Corporation
00092	Belkin International, Inc.
00093	Realtek Semiconductor Corporation
00094	Stonestreet One, LLC
00095	Wicentric, Inc.
00096	RivieraWaves S.A.S
00097	RDA Microelectronics
00098	Gibson Guitars
00099	MiCommand Inc.
00100	Band XI International, LLC
00101	HP, Inc.
00103	GN Hearing
00104	General Motors
00105	A&D Engineering, Inc.
00106	LTM Limited
00107	Polar Electro OY
00108	Beautiful Enterprise Co., Ltd.
00110	Summit Data Communications, Inc.
00111	Sound ID
00112	Monster, LLC
00113	connectBlue AB
00114	ShangHai Super Smart Electronics Co. Ltd.
00115	Group Sense Ltd.
00116	Zomm, LLC
00117	Samsung Electronics Co. Ltd.
00118	Creative Technology Ltd.
00119	Laird Connectivity LLC
00120	Nike, Inc.
00121	lesswire AG
00122	MStar Semiconductor, Inc.
00123	Hanlynn Technologies
00125	Seers Technology Co., Ltd.
00127	Autonet Mobile
00128	DeLorme Publishing Company, Inc.
00129	WuXi Vimicro
00130	DSEA A/S
00131	TimeKeeping Systems, Inc.
00132	Ludus Helsinki Ltd.
00133	BlueRadios, Inc.
00134	Equinux AG
00135	Garmin International, Inc.
00137	GN Hearing A/S
00138	Jawbone
00139	Topcon Positioning Systems, LLC
00140	Gimbal Inc.
00141	Zscan Software
00142	Quintic Corp
00143	Telit Wireless Solutions GmbH
00144	Funai Electric Co., Ltd.
00145	Advanced PANMOBIL systems GmbH & Co. KG
00146	ThinkOptics, Inc.
00147	Universal Electronics, Inc.
00148	Airoha Technology Corp.
00149	NEC Lighting, Ltd.
00150	ODM Technology, Inc.
00151	ConnecteDevice Ltd.
00152	zero1.tv GmbH
00153	i.Tech Dynamic Global Distribution Ltd.
00154	Alpwise
00155	Jiangsu Toppower Automotive Electronics Co., Ltd.
00156	Colorfy, Inc.
00157	Geoforce Inc.
00158	Bose Corporation
00159	Suunto Oy
00160	Kensington Computer Products Group
00161	SR-Medizinelektronik
00162	Vertu Corporation Limited
00163	Meta Watch Ltd.
00164	LINAK A/S
00165	OTL Dynamics LLC
00166	Panda Ocean Inc.
00167	Visteon Corporation
00168	ARP Devices Limited
00169	MARELLI EUROPE S.P.A.
00170	CAEN RFID srl
00171	Ingenieur-Systemgruppe Zahn GmbH
00172	Green Throttle Games
00173	Peter Systemtechnik GmbH
00174	Omegawave Oy
00175	Cinetix
00176	Passif Semiconductor Corp
00177	Saris Cycling Group, Inc
00178	Bekey A/S
00179	Clarinox Technologies Pty. Ltd.
00180	BDE Technology Co., Ltd.
00181	Swirl Networks
00182	Meso international
00183	TreLab Ltd
